source_vintage,source_hs8,hs8_2022,match_type
2017,07099300,07099300,identity
2017,07099900,07099900,identity
2017,07101000,07101000,identity
2017,07102100,07102100,identity
2017,07102200,07102200,identity
2017,07102900,07102900,identity
2017,07103000,07103000,identity
2017,07104000,07104000,identity
2017,07108000,07108000,identity
2017,07109000,07109000,identity
2017,07112000,07112000,identity
2017,07114000,07114000,identity
2017,07115100,07115100,identity
2017,07115900,07115900,identity
2017,07119014,07119014,identity
2017,07122000,07122000,identity
2017,07123100,07123100,identity
2017,07123200,07123200,identity
2017,07123300,07123300,identity
2017,07123900,07123401,concordance_split
2017,07123900,07123990,concordance_split
2017,07129001,07129001,identity
2017,07131021,07131021,identity
2017,07131027,07131027,identity
2017,07132030,07132030,identity
2017,07133110,07133110,identity
2017,07133120,07133120,identity
2017,07133200,07133200,identity
2017,07133300,07133300,identity
2017,07133400,07133400,identity
2017,07133500,07133500,identity
2017,07133930,07133930,identity
2017,07134000,07134000,identity
2017,07135010,07135010,identity
2017,07135020,07135020,identity
2017,07136000,07136000,identity
2017,07139040,07139040,identity
2017,07141001,07141001,identity
2017,07142001,07142001,identity
2017,07143000,07143000,identity
2017,07144000,07144000,identity
2017,07145000,07145000,identity
2017,07149010,07149010,identity
2017,08011100,08011100,identity
2017,08011200,08011200,identity
2017,08011990,08011990,identity
2017,08012100,08012100,identity
2017,08012200,08012200,identity
2017,08013100,08013100,identity
2017,08013200,08013200,identity
2017,08021100,08021100,identity
2017,08021200,08021200,identity
2017,08022100,08022100,identity
2017,08022200,08022200,identity
2017,08023100,08023100,identity
2017,08023200,08023200,identity
2017,08024100,08024100,identity
2017,08024200,08024200,identity
2017,08025100,08025100,identity
2017,08025200,08025200,identity
2017,08026100,08026100,identity
2017,08026200,08026200,identity
2017,08027000,08027000,identity
2017,08028000,08028000,identity
2017,08029011,08029911,concordance
2017,08029019,08029919,concordance
2017,08029094,08029100,concordance_split
2017,08029094,08029200,concordance_split
2017,08029094,08029990,concordance_split
2017,08031000,08031000,identity
2017,08039000,08039000,identity
2017,08041030,08041030,identity
2017,08042000,08042000,identity
2017,08043035,08043035,identity
2017,08044000,08044000,identity
2017,08045050,08045050,identity
2017,08051011,08051011,identity
2017,08051012,08051012,identity
2017,08051013,08051013,identity
2017,08051030,08051030,identity
2017,08052100,08052100,identity
2017,08052200,08052200,identity
2017,08052900,08052900,identity
2017,08054030,08054030,identity
2017,08054040,08054040,identity
2017,08055050,08055050,identity
2017,08055060,08055060,identity
2017,08059070,08059070,identity
2017,08059080,08059080,identity
2017,08061000,08061000,identity
2017,08062060,08062060,identity
2017,08071100,08071100,identity
2017,08071900,08071900,identity
2017,08072000,08072000,identity
2017,08081001,08081001,identity
2017,08081090,08081090,identity
2017,08083010,08083010,identity
2017,08083090,08083090,identity
2017,08084000,08084000,identity
2017,08091000,08091000,identity
2017,08092100,08092100,identity
2017,08092900,08092900,identity
2017,08093010,08093010,identity
2017,08093020,08093020,identity
2017,08094000,08094000,identity
2017,08101000,08101000,identity
2017,08102000,08102000,identity
2017,08103030,08103030,identity
2017,08104000,08104000,identity
2017,08105000,08105000,identity
2017,08106000,08106000,identity
2017,08107000,08107000,identity
2017,08109098,08109098,identity
2017,08111000,08111000,identity
2017,08112000,08112000,identity
2017,08119000,08119000,identity
2017,08121000,08121000,identity
2017,08129001,08129001,identity
2017,08131000,08131000,identity
2017,08132000,08132000,identity
2017,08133000,08133000,identity
2017,08134000,08134000,identity
2017,08135000,08135000,identity
2017,08140000,08140000,identity
2017,09011100,09011100,identity
2017,09011200,09011200,identity
2017,09012100,09012100,identity
2017,09012200,09012200,identity
2017,09019000,09019000,identity
2017,09021000,09021000,identity
2017,09022000,09022000,identity
2017,09023000,09023000,identity
2017,09024000,09024000,identity
2017,09030000,09030000,identity
2017,09041100,09041100,identity
2017,09041200,09041200,identity
2017,09042100,09042100,identity
2017,09042200,09042200,identity
2017,09051000,09051000,identity
2017,09052000,09052000,identity
2017,09061110,09061110,identity
2017,09061990,09061990,identity
2017,09062000,09062000,identity
2017,09071000,09071000,identity
2017,09072000,09072000,identity
2017,09081100,09081100,identity
2017,09081200,09081200,identity
2017,09082100,09082100,identity
2017,09082200,09082200,identity
2017,09083100,09083100,identity
2017,09083200,09083200,identity
2017,09092100,09092100,identity
2017,09092200,09092200,identity
2017,09093100,09093100,identity
2017,09093200,09093200,identity
2017,09096100,09096100,identity
2017,09096200,09096200,identity
2017,09101100,09101100,identity
2017,09101200,09101200,identity
2017,09102000,09102000,identity
