category_code,category_description,category_hierarchy,hs8
02062,"Of bovine animals, frozen:",HS Code,02062200
02062,"Of bovine animals, frozen:",HS Code,02062900
020621,Tongues,HS Code,02062100
02062100,Tongues,Export Statistical Item,02062100
020622,Livers,HS Code,02062200
02062200,Livers,Export Statistical Item,02062200
020629,Other,HS Code,02062900
02062900,Other,Export Statistical Item,02062900
020630,"Of swine, fresh or chilled",HS Code,02063000
02063000,"Of swine, fresh or chilled",Export Statistical Item,02063000
02064,"Of swine, frozen:",HS Code,02064100
02064,"Of swine, frozen:",HS Code,02064900
020641,Livers,HS Code,02064100
02064100,Livers,Export Statistical Item,02064100
020649,Other,HS Code,02064900
02064900,Other,Export Statistical Item,02064900
020680,"Other, fresh or chilled",HS Code,02068000
02068000,"Other, fresh or chilled",Export Statistical Item,02068000
020690,"Other, frozen",HS Code,02069000
02069000,"Other, frozen",Export Statistical Item,02069000
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02071100
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02071200
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02071300
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02071400
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02072400
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02072500
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02072600
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02072700
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02074110
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF 0105, FRESH, CHILLED OR FROZEN:",Heading,02074220
